Maturity Date,Issue Date,Series Name,ISIN for the Rule 144A Global Bonds,ISIN for the Regulation S Global Bonds,Coupon Rate,Amount (USD Mn)
25 July 2022,25 July 2012,SRILAN 5.875 07/22,US85227SAK24,USY2029SAH77,5.8750,"1,000.00"
18 April 2023,18 April 2018,SRILAN 5.750 04/23,US85227SAV88,USY8137FAK40,5.7500,"1,250.00"
14 March 2024,14 March 2019,SRILAN 6.850 03/24,US85227SAY28,USY8137FAN88,6.8500,"1,000.00"
28 June 2024,28 June 2019,SRILAN 6.350 06/24,US85227SBA33,USY8137FAQ10,6.3500,500.00
3 June 2025,3 June 2015,SRILAN 6.125 06/25,US85227SAN62,USY8137FAC24,6.1250,650.00
3 November 2025,3 November 2015,SRILAN 6.850 11/25,US85227SAQ93,USY8137FAE89,6.8500,"1,500.00"
18 July 2026,18 July 2016,SRILAN 6.825 07/26,US85227SAR76,USY8137FAF54,6.8250,"1,000.00"
11 May 2027,11 May 2017,SRILAN 6.200 05/27,US85227SAT33,USY8137FAH11,6.2000,"1,500.00"
18 April 2028,18 April 2018,SRILAN 6.750 04/28,US85227SAW61,USY8137FAL23,6.7500,"1,250.00"
14 March 2029,14 March 2019,SRILAN 7.850 03/29,US85227SAZ92,USY8137FAP37,7.8500,"1,400.00"
28 March 2030,28 June 2019,SRILAN 7.550 06/30,US85227SBB16,USY8137FAR92,7.5500,"1,500.00"
ISBs Outstanding as at 31.01.2022,"12,550.00",,,,,