Serial Number,Route No.,Origin,Destination,No of Busses (Normal),Operated Buses Per Day,Distance (Km),No of Trip Per Day (Both Side),Operated(KM) per day,Travel Time (hours)
1,EX 001 ,GALLE,KOTTAWA,13,,114.0,,,1:30
2,EX - 1 - 1,MATARA,MAHARAGAMA,28,28,135.0,56,7560,1:40
3,EX - 1 - 2,MATARA,KADUWELA,15,15,140.0,30,4200,1:50
4,EX 1,GALLE,MAKUMBURA,15,-,112.7,,,1.20
5,EX 1-2,KADUWELA,MATARA,,,140,30,4200,1.50
6,EX 1-5/26,COLOMMBO,HAKMANA,,,174,1,348,3.20
7,EX 1-6/270,MATARA,NEGAMBO,,,188,2,752,2.30
8,EX 1-7/26,COLOMBO,MIDDENIYA,,,203,1,406,4
9,EX 1-9/493,COLOMBO,EMBILIPITIYA,,,237,1,474,5
10,EX 1-10/60,COLOMBO,AKURESSA,,,148,3,888,3
11,EX 1-11/32,COLOMBO,WEERAKETIYA,,,201,1,402,4
12,EX 1-12/32,COLOMBO,KATARAGAMA,,,287,4,2296,6
13,EX 1-13/353,COLOMBO,DEYYANDARA,,,189,1,378,4
14,EX 1-14/60,COLOMBO,DENIYAYA,,,193,1,326,4.10
15,EX 1-16,COLOMBO,ELPITIYA,,,95,12,2280,1.55
16,EX 1-18,COLOMBO,MATARA,,,155.6,22,3423,2.35
17,EX 1-21,KADAWATHA,GALLE,,,124.7,30,3741,1:30
18,EX 1-22,KADAWATHA,MATARA,,,154,34,5236,2
19,EX 1-23,KADUWELA,GALLE,,,120,24,2880,1.20
20,EX 1-124/1,MATARA,KANDY,,,251,1,502,5.30
21,EX 1-125/450,PANADURA,MATARA,,,129.8,16,2076,1.50
23,EX 1-27/01,GALLE,KANDY,,,222,2,444,5
24,EX 1-33/270,GALLE,NEGAMBO,,,155,2,620,2.20
25,EX 1-37/174,GALLE,BATTARAMULLA,,,126,2,504,2.30
27,EX 1-41,AMBALANGODA,COLOMBO,,,104,12,2496,2
28,EX 1-46,KATUBEDDA,MATARA,,,137,4,1096,2
29,EX 1-48,KADAWATHA,AMBALANGODA,,,103,41,206,1.30
30,EX 1-49,PANADURA,GALLE,,,101,4,404,1.35