No,Route No.,Origin,Destination,No of Buses (Semi Luxury),Operated Buses Per Day,Distance (KM),No of Trip Per Day (Both Sides),Operated KM Per Day,Travel Time (hours)
1,2,COLOMBO,MATARA,12,12,160.2,24,3844.8,4:45
2,2/4-3,ANURADHAPURA,MATARA,3,3,376.0,4,1504,10:30
3,2/8,MATARA,MATALE,2,2,301.7,2,603.4,9:00
4,2/ 48,KADURUWELA,MATARA,2,2,382.4,2,764.8,10:40
5,3 - 1,COLOMBO,EMBILIPITIYA,1,1,165.8,2,331.6,4:25
6,3/15/87,HAMBANTOTA,JAFFNA,2,1,488.6,2,977.2,15:00
7,4,COLOMBO,MANNAR,13,12,330.0,24,7920,8:15
8,4 - 1,COLOMBO,TALAIMANNAR,2,2,361.5,2,723,9:00
9,4 - 3,COLOMBO,ANURADHAPURA,6,6,216.4,12,2596.8,5:30
10,4 - 3/842-1	,COLOMBO,PULMUDE,3,3,310.2,6,1861.2,7:50
11,4/844,COLOMBO,SRIPURA,2,2,308.2,4,1232.8,7:50
12,4/86,PUTTALAM,KALMUNAI,2,2,314.1,2,628.2,8:00
13,7,COLOMBO,KALPITIYA,1,1,171.0,2,342,4:35
14,10,KATARAGAMA,KANDY,2,2,280.0,2,560,8:00
15,13 - 2,COLOMBO,DAYAGAMA,1,1,163.7,2,327.4,5:00
16,14,KANDY,MONARAGALA,1,1,160.2,2,320.4,4:45
17,15 - 1 - 1,COLOMBO,ANURADHAPURA,19,17,222.3,34,7558.2,5:45
18,15 - 7,COLOMBO,VAVUNIYA,26,24,285.7,48,13714,7:00
19,15 -11,COLOMBO,JANAKAPURA,1,1,354.2,2,708.4,8:45
20,15/ 82,COLOMBO,MULATHIVU,1,1,328.0,2,656,8:30
21,15/ 87,COLOMBO,JAFFNA,6,6,429.0,6,2574,10:45
22,15/819,COLOMBO,NANDIKADAL,1,1,402.5,2,805,9:45
23,15-22/87/769,MORATUWA,KANKASANTURE,2,2,438.3,2,876.6,11:50
24,17,PANADURA,KANDY,8,8,147.3,16,2356.8,4:30
25,17/48,PANADURA,KADURUWELA,1,1,252.1,2,504.2,7:00
26,18 - 2,COLOMBO,HATTON,1,1,120.6,2,241.2,4:00
27,18/727,COLOMBO,UDAPUSSELLAWA,2,2,224.0,2,448,7:15
28,21,BADULLA,KANDY,13,13,121.0,26,3146,3:45
29,21 - 6,COLOMBO,BADULLA,1,1,236.1,2,472.2,6:35
30,21-1/245,KATUNAYAKA,BADULLA,1,1,249.0,2,498,6:30
31,21/ 910/ 1,KALMUNAI,COLOMBO,1,1,364.0,1,364,9:30
32,22- 8,COLOMBO,AMPARA,8,8,314.0,8,2512,8:50
33,22 - 9,COLOMBO,NINDAVUR,1,1,360.1,1,360.1,9:30
34,31 - 1,MATARA,NUWARAELIYA,2,2,251.3,4,1005.2,7:10
35,32,COLOMBO,KATARAGAMA,25,23,292.5,42,12285,8:00
36,32 -1,COLOMBO,HAMBANTOTA,5,5,243.0,10,2430,7:00
37,32 - 2,COLOMBO,LUNUGAMVEHERA,1,1,282.2,2,564.4,6:30
38,32 - 4,COLOMBO,TANGALLE,10,8,201.1,16,3217.6,5:45
39,32- 4/87,TANGALLE,JAFFNA,2,2,616.0,2,1232,16:30
40,32- 7/1,WALASMULLA,KANDY,2,2,313.0,2,626,9:30
41,32/ 49,TANGALLE,TRINCOMALEE,4,4,463.3,4,1853.2,12:30
42,32/ 87-3,TANGALLE,MULATHIVU,2,2,556.0,2,1112,14:00
43,32/493,COLOMBO,ANGUNAKOLAPELESSA,2,2,220.2,4,880.8,6:15
44,32/574,COLOMBO,ANGUNAKOLAPELESSA,1,1,217.0,2,434,6:15
45,38,COLOMBO,BIBILA,4,4,231.0,6,1386,7:20
46,38 - 1,COLOMBO,MAHIYANGANAYA,4,4,192.4,8,1539.2,6:20
47,38 - 3,COLOMBO,DEHIATTAKANDIYA,2,2,237.2,4,948.8,7:20
48,38 - 4,COLOMBO,AMPARA,2,2,312.0,2,624,8:35
50,43 - 1,KANDY,MANNAR,1,1,234.0,2,468,5:50
51,43/857,KANDY,VAVUNIYA,4,4,204.0,8,1632,5:00
52,47/43/87,DIYATALAWA,JAFFNA,4,4,486.2,4,1944.8,14:20
53,48,COLOMBO,KALMUNAI,2,2,356.2,2,712.4,9:40
54,48 - 1,COLOMBO,BATTICALOA,12,12,314.9,12,3778.8,8:05
55,48 - 3,COLOMBO,KADURUWELA,2,2,224.6,4,898.4,6:00
56,48 - 5,COLOMBO,ODDAMAWADI,1,1,282.7,1,282.7,7:20
57,48 -12,COLOMBO,AKKARAIPATTU,2,2,380.9,2,761.8,10:10
58,48 -13,COLOMBO,TIRIKKOVIL,1,1,393.7,1,393.7,10:30
59,48 -14,COLOMBO,KATTANKUDI,2,2,322.3,2,644.6,8:20
61,48/217/29,KURUNEGALA,KATARAGAMA,2,2,368.2,2,736.4,9:45
62,49,COLOMBO,TRINCOMALEE,19,17,262.3,34,8918.2,7:00
63,49/866,COLOMBO,KINNIYA,1,1,256.9,2,513.8,6:45
64,49/867,PULMUDE,COLOMBO,1,1,321.7,2,643.4,8:25
65,57 - 3,COLOMBO,VAVUNIYA,1,1,260.0,2,520,6:45
66,57/87,COLOMBO,JAFFNA,2,2,412.5,2,825,10:30
67,60,COLOMBO,DENIYAYA,1,1,200.8,2,401.6,5:50
68,64/98,PANADURA,AMPARA,2,2,323.0,2,646,10:00
69,68/ 218,KATARAGAMA,JAFFNA,2,2,509.0,2,1018,13:30
70,68/580,KATARAGAMA,JAFFNA,2,2,509.0,2,1018,14:00
71,69 - 4,KANDY,AVISSAWELLA,7,7,86.5,28,2422,2:30
72,69/15/87,HAMBANTOTA,VAVUNIYA,3,3,420.1,3,1260.3,10:30
73,69/15-7,EMBILIPITIYA,VAVUNIYA,2,2,372.1,2,744.2,9:25
74,69/15-7/87,WALASMULLA,JAFFNA,2,2,568.8,2,1137.6,14:30
75,69/15-8,ANURADHAPURA,EMBILIPITIYA,2,2,342.3,2,684.6,8:30
76,79,COLOMBO,NUWARA ELIYA,5,5,180.0,10,1800,5:50
77,79 - 1,COLOMBO,WELIMADA,10,10,208.4,20,4168,6:40
78,79/743-1,COLOMBO,UDUPUSSELLAWA,1,1,240.5,2,481,7:00
79,82/580/22,AMPARA,MULATHIVU,2,2,352.1,2,704.2,12:00
80,84/580/314,MANNAR,DIYATALAWA,2,2,350.0,2,700,10:30
81,86,BATTICALOA,JAFFNA,1,1,414.4,1,414.4,11:00
82,86 - 2,VAVUNIYA,AKKARAIPATTU,1,1,302.0,2,604,8:00
83,86 - 6,VAVUNIYA,KALMUNAI,1,1,282.3,2,564.6,7:30
84,86 - 9,VAVUNIYA,THIRUKKOVIL,2,2,304.0,2,608,8:05
85,86/218/22,VAVUNIYA,AMPARA,1,1,362.0,1,362,9:20
86,87,COLOMBO,JAFFNA,21,21,419.6,21,8811.6,10:30
87,87 - 2,COLOMBO,VAVUNIYA,35,31,270.0,62,16740,7:00
88,87 - 5/782,KARAYINAGAR,PANADURA,1,1,450.0,1,450,12:30
89,87 - 6 -1,COLOMBO,KILINOCHCHI,1,1,332.1,1,332.1,8:20
90,87/769,COLOMBO,KANKASANTHURE,1,1,415.0,1,415,11:15
91,87/816,COLOMBO,THUNUKKAI,1,1,320.2,1,320.2,8:10
93,88,TRINCOMALEE,JAFFNA,5,5,247.0,10,2470,6:20
,88 - 2,TRINCOMALEE,VAVUNIYA,1,1,102.3,2,204.6,2:30
94,88 - 6,MANNAR,TRINCOMALEE,1,1,182.5,2,365,4:40
95,98,COLOMBO,AKKARAIPATTU,2,2,383.0,2,766,10:00
96,98 - 3,COLOMBO,KALMUNAI,1,1,391.0,1,391,10:15
97,98 - 8,COLOMBO,PANAMA,2,2,360.0,2,720,9:20
98,98 -17,COLOMBO,AKKARAIPATTU,1,1,391.0,1,391,10:15
99,99,COLOMBO,BADULLA,33,30,238.0,28,6664,7:30
100,99 - 8,COLOMBO,PASSARA,3,3,257.7,6,1546.2,8:15
101,99 - 9,COLOMBO,LUNUGALA,1,1,279.7,1,279.7,9:00
102,99 - 10,COLOMBO,WELIMADA,4,4,230.0,8,1840,7:20
103,99/318,COLOMBO,MADOLSIMA,2,2,268.0,2,536,8:30
104,122/210 -,COLOMBO,SEWANAGALA,2,2,187.6,4,750.4,5:30
105,211/69/45,HAMBANTOTA,TRINCOMALEE,2,2,433.2,2,866.4,11:30
106,285/6/15-12,MATUGAMA,ANURADAPURA,1,1,275.8,2,551.6,7:30
107,314/580/87,BADULLA,JAFFNA,4,4,440.2,4,1760.8,12:30
108,315/1,HORANA,KANDY,2,2,134.0,4,536,3:30
109,458 - 1,KANDY,MATUGAMA,2,2,168.0,4,672,4:30
110,458/15/87,MATUGAMA,JAFFNA,2,2,464.3,2,928.6,11:30
111,482/98,ALUTGAMA,AKKARAIPATTU,2,2,410.0,2,820,11:00
112,626/43/87,N' ELIYA,JAFFNA,1,1,440.0,1,440,12:30
113,725/43/87,HATTON,JAFFNA,2,2,409.0,2,818,10:50
114,910/21/1,COLOMBO,KALMUNAI,1,1,342.0,1,342,9:00