Serial No,Route No.,Origin,Destination,No of Busses (Normal),Operated Buses Per Day,Distance (Km),No of Trip Per Day (Both Side),Operated(KM) per day,Travel Time (hours)
1,48,COLOMBO,KALMUNAI,2,1,356.2,1,356.2,9:20
2,48 - 1,COLOMBO,BATTICALOA,1,1,314.9,1,314.9,8:05
3,48 -12,COLOMBO,AKKARAIPATTU,2,2,378.7,2,757.4,10:10
4,49,COLOMBO,TRINCOMALEE,2,2,262.3,2,524.6,6:45
5,87,COLOMBO,JAFFNA,18,18,419.6,18,7552.8,10:00
6,87 - 7/ 769,MORATUWA,KANKASANTHURE,1,1,434.0,1,434,11:00
7,87/759,COLOMBO,POINT PEDRO,1,1,388.0,1,388,9:45
8,87/769,COLOMBO,KANKASANTHURE,2,2,415.0,2,830,11:00
9,87/782,COLOMBO,KARAINAGAR,1,1,431.0,2,431,11:00
10,99,COLOMBO,BADULLA,2,1,238.0,1,238,6:00
11,99 - 8,COLOMBO,PASSARA,2,2,284.2,4,1136.8,6:40
12,EX 001,GALLE,KOTTAWA (HIGHWAY),13,13,114.0,48,5472,1:30
13,EX - 1 - 1,MATARA,MAHARAGAMA,28,28,135.0,56,7560,1:40
14,EX - 1 - 2,MATARA,KADUWELA,15,15,140.0,30,4200,1:50