Serial No,Route No,Origin,Destination,No of Buses (Super Luxury),Operated Buses Per Day,Distance (Km),No of Trip Per Day (Both Side),Operated KM Per Day,Travel Time (hours)
1,1,COLOMBO,KANDY,76,46,115.2,92,10598.4,3:15
2,1 - 2,COLOMBO,MAWANELLA,1,1,90.0,2,180,2:35
3,2,COLOMBO,MATARA,21,21,160.4,42,6736.8,4:30
4,2 - 1,COLOMBO,GALLE,47,47,116.4,94,10941.6,3:15
5,2 - 3,COLOMBO,AMBALANGODA,15,14,85.5,60,5130,2:30
6,4 - 3,COLOMBO,ANURADHAPURA,1,1,216.4,2,432.8,5:15
7,4 - 7,COLOMBO,PUTTALAM,14,14,137.2,28,3841.6,3:30
8,4 - 9,COLOMBO,ANAMADUWA,8,8,129.0,16,2064,3:20
9,4 -11,COLOMBO,CHILAW,45,38,82.8,86,7120.8,2:30
10,6,COLOMBO,KURUNEGALA,32,30,93.4,60,5604,2:35
11,8,COLOMBO,MATALE,20,20,141.3,40,5652,4:00
12,15 - 1 - 1,COLOMBO,ANURADHAPURA,9,9,222.3,18,4001.4,5:45
13,15 - 7,COLOMBO,VAVUNIYA,2,2,285.7,4,1142.8,6:45
14,15/ 87,COLOMBO,JAFFNA,1,1,429.0,1,429,10:30
15,18 - 2,COLOMBO,HATTON,9,9,120.6,18,2170.8,4:00
16,18 - 7,COLOMBO,TALAWAKELE,1,1,137.0,2,274,4:40
17,19 - 2,COLOMBO,GAMPOLA,1,1,123.7,2,247.4,3:30
18,22 - 2,KANDY,AMPARA,16,14,197.7,28,5535.6,5:00
19,22 - 7,COLOMBO,KALMUNAI,13,13,342.0,13,4446,9:00
20,22 - 9,COLOMBO,NINDAVUR,1,1,339.6,1,339.6,8:55
21,26,COLOMBO,HAKMANA,1,1,184.5,2,369,5:00
22,34 - 3,NEGOMBO,KURUNEGALA,29,29,76.3,116,8850.8,2:00
23,42 - 2,KANDY,ANURADHAPURA,2,2,148.9,4,595.6,4:15
24,43,KANDY,ANURADHAPURA,32,30,141.3,60,8478,4:00
26,48,COLOMBO,KALMUNAI,3,3,356.2,3,1068.6,9:25
27,48 - 1,COLOMBO,BATTICALOA,3,3,314.9,3,944.7,8:00
28,48 -12,COLOMBO,AKKARAIPATTU,2,2,378.7,2,757.4,10:10
29,49,COLOMBO,TRINCOMALEE,5,5,262.3,5,1311.5,6:45
30,60,COLOMBO,DENIYAYA,2,2,200.8,4,803.2,5:50
31,60 - 1,COLOMBO,AKURESSA,8,8,154.7,16,2475.2,4:30
32,79,COLOMBO,NUWARA ELIYA,9,9,180.0,18,3240,5:15
33,79 - 1,COLOMBO,WELIMADA,3,3,208.4,6,1250.4,6:05
34,87,COLOMBO,JAFFNA,4,4,420,4,1678,10:15
35,87 - 2,COLOMBO,VAVUNIYA,2,2,270.0,4,2160,6:45
36,87 - 5,JAFFNA,PANADURA,1,1,428.0,1,428,10:45
37,87/ 759,COLOMBO,POINT PEDRO,3,3,398.0,3,1194,10:00
38,87/ 769,COLOMBO,KANKASANTHURE,1,1,415.0,1,415,11:00
39,92 - 4,COLOMBO,KULIYAPITIYA,22,19,86.1,64,5510.4,2:20
40,98,COLOMBO,AKKARAIPATTU,6,6,404.4,6,2426.4,10:30
41,99,COLOMBO,BADULLA,17,15,238.0,30,7140,7:00
42,122,COLOMBO,RATHNAPURA,1,1,103.1,2,206.2,2:50
43,122/210,COLOMBO,EMBILIPITIYA,2,2,180.5,4,722,4:45
45,401,COLOMBO,ELPITIYA,7,7,95.5,28,2674,2:45
46,602,KANDY,KURUNEGALA,26,23,43.0,92,3956,1:10